CRD070-2_S167_L004_R1_001 CRD070-2_S167_L004_R2_001 CRD070-2_S167
CRD071-1_S380_L003_R1_001 CRD071-1_S380_L003_R2_001 CRD071-1_S380
CRD071-2_S381_L003_R1_001 CRD071-2_S381_L003_R2_001 CRD071-2_S381
CRD072-1_S168_L004_R1_001 CRD072-1_S168_L004_R2_001 CRD072-1_S168
CRD072-2_S169_L004_R1_001 CRD072-2_S169_L004_R2_001 CRD072-2_S169
CRD074-1_S382_L003_R1_001 CRD074-1_S382_L003_R2_001 CRD074-1_S382
CRD074-2_S383_L003_R1_001 CRD074-2_S383_L003_R2_001 CRD074-2_S383
CRD075-1_S384_L003_R1_001 CRD075-1_S384_L003_R2_001 CRD075-1_S384
CRD075-2_S3_L003_R1_001 CRD075-2_S3_L003_R2_001 CRD075-2_S3
CRD076-1_S386_L003_R1_001 CRD076-1_S386_L003_R2_001 CRD076-1_S386
CRD076-2_S387_L003_R1_001 CRD076-2_S387_L003_R2_001 CRD076-2_S387
CRD077-1_S170_L004_R1_001 CRD077-1_S170_L004_R2_001 CRD077-1_S170
CRD077-2_S171_L004_R1_001 CRD077-2_S171_L004_R2_001 CRD077-2_S171
CRD078-1_S388_L003_R1_001 CRD078-1_S388_L003_R2_001 CRD078-1_S388
CRD078-2_S389_L003_R1_001 CRD078-2_S389_L003_R2_001 CRD078-2_S389
CRD079-1_S390_L003_R1_001 CRD079-1_S390_L003_R2_001 CRD079-1_S390
CRD079-2_S4_L003_R1_001 CRD079-2_S4_L003_R2_001 CRD079-2_S4
CRD080-1_S392_L003_R1_001 CRD080-1_S392_L003_R2_001 CRD080-1_S392
CRD080-2_S393_L003_R1_001 CRD080-2_S393_L003_R2_001 CRD080-2_S393
CRD081-1_S172_L004_R1_001 CRD081-1_S172_L004_R2_001 CRD081-1_S172
CRD081-2_S173_L004_R1_001 CRD081-2_S173_L004_R2_001 CRD081-2_S173
CRD082-1_S394_L003_R1_001 CRD082-1_S394_L003_R2_001 CRD082-1_S394
CRD082-2_S395_L003_R1_001 CRD082-2_S395_L003_R2_001 CRD082-2_S395
CRD083-1_S396_L003_R1_001 CRD083-1_S396_L003_R2_001 CRD083-1_S396
CRD083-2_S397_L003_R1_001 CRD083-2_S397_L003_R2_001 CRD083-2_S397
CRD084-1_S174_L004_R1_001 CRD084-1_S174_L004_R2_001 CRD084-1_S174
CRD084-2_S175_L004_R1_001 CRD084-2_S175_L004_R2_001 CRD084-2_S175
CRD085-1_S176_L004_R1_001 CRD085-1_S176_L004_R2_001 CRD085-1_S176
CRD085-2_S177_L004_R1_001 CRD085-2_S177_L004_R2_001 CRD085-2_S177
CRD086-1_S398_L003_R1_001 CRD086-1_S398_L003_R2_001 CRD086-1_S398
CRD086-2_S399_L003_R1_001 CRD086-2_S399_L003_R2_001 CRD086-2_S399
CRD087-1_S400_L003_R1_001 CRD087-1_S400_L003_R2_001 CRD087-1_S400
CRD087-2_S401_L003_R1_001 CRD087-2_S401_L003_R2_001 CRD087-2_S401
CRD088-1_S178_L004_R1_001 CRD088-1_S178_L004_R2_001 CRD088-1_S178
CRD088-2_S179_L004_R1_001 CRD088-2_S179_L004_R2_001 CRD088-2_S179
